,text,Adults,Chickenpox vaccines,Diphtheria,General immunization,HPV vaccines,Hepatitis A vaccine,Hepatitis B vaccine,Immunization records,Infants & young children,Influenza vaccines,Measles,Meningococcal vaccines,Other,Pneumococcal vaccines,Pregnancy,Rotavirus Vaccines,School-age children & teens,Shingles vaccines,TB skin test,Travel vaccines,Vaccine Schedules,Vaccine ingredients,Vaccine safety,Where to get immunized,mumps and rubella vaccines,tetanus and pertussis vaccines
42,"My kids are both adopted and their Health Numbers were changed once the final adoption was complete, but their vaccinations do not come up under the new number - what is the process to have this information added to their new numbers?
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Hello, my partner and I got a tifo vaccine back in January and should get the second injection to make it last 20 years We are now living here, can we get it done at your center? How much will it cost? We have our insurance with us Thank you, 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,"Hi, I am going to Africa (Uganda and Rwanda) and was wondering what kind of shots I would be needing to get? And where could I get it done? Thank you!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,"Hi, i would like to make an vaccine appointment for my 18 months baby. How can i make an appointment or can I just walk in to the health centre?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Kindergarten booster starting at age 4 immunizetion means 4 years completed or just enter into 4 years
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Is a 3-1 dose vaccine available in B.C. for DTap for 2 month old first vaccination. I feel the 6-1, Infanrix hexa has too much aluminum and spacing out would be safer.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
48,"Is the TB test covered by FNIHB if I am a registered status First Nations Canadian
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
49,"Hello, I am inquiring on who is legally allowed to administer vaccine's, specifically, the flu shot? Is a company allowed to hire a nurse to give the vaccine to our employees?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Is the polio vaccine free? And can a pharmacy give it or do I have to go to a public health clinic?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"I'm old, heart disease/diabetes, I should get a needle for shingles, as my wife was told she might have contracted it. Pls advise where/when
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,"how long does a tetanus shot last. My son has not had one since high school, and he is 24 now
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Our MSP will not be activated until our son is 6.5 months old, but he needs some vaccines at 4 & 6 months, is he eligible for the free public vaccines before his MSP is activated?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Can HPV-9 vaccine prevent prostate cancer? Is there some protective benefits?
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Hello, I can't seem to find my immunization records anywhere and was wondering if I can by any chance get them via e-mail? Thank you
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"My spouse is a 71 year old male who grew up in California. He does not believe that he ever had the measles. I note there is/was an outbreak of measles in Wash. State. Does he need immunization?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,"What was the vaccine that left a large scab on the upper arm?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"My son is in grade 9. He missed his meningococcal vaccine from the school. How and where could I get him vaccinated for the same. 
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Does pharma care cover shingles vaccine?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,"I am 33 years old and i have never been immunized when I was a child. Is it too late for me to get immunization? Can i still get those vaccines that were suppose to be given to me? Can vaccine detected in body if we don't take vaccine in childhood by doctors.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Do vaccines contain formaldehyde
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,"How long one should wait for shingle vaccine after TDap vaccine?
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
63,"I require the most effective flu vaccine available. I get inoculated with high dose Fluzone. I understand there is a product called FLUAD with adjuvant MF59. Difference? Is it available in Kelowna? Can I get both? I am willing to pay. I have had cancer treatment and I now have a weak immune system
",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,"I travel to Hong Kong in 2 weeks time. Should I take the flu shot here in BC or should I get the flu shot in Hong Kong?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"I have a been sensitized to formaldehyde (Gross Anatomy, Dental college, 2001). Further exposure during school & private practice led to increased respiratory reactions. I was told I could not get the flu vaccine. Does this apply to other vaccines?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,"Hi I am a 53 year old female, Traveling to Europe (London, Paris & Naples) May 4th to May 19th. Do I need to have any immunization before my travels?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,"Is HPV free for an international student who has msp?
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Hi! I was hoping to get a copy of my immunization records.
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"My child has the flu and is scheduled for her grade 9 vaccines, can she still take them?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,"where can I get a measles shot on Saturday. I live in maple ridge but can travel anywhere in lower mainland
",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
71,"How fast will my baby absorb the immunization or how fast will it take effect? Can I start taking her out in public more often right after her 2month immunization?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"How do I know if my children and I are up to date for the mumps vaccine?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,"Heard that it would be a bad flu season. I am 62 and married to a 74 man with myeloma. I am retired and have limited funds. Can I get a free flu shot through BC medical?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"My husband and I are 77 and 70 years of age. We are going on an extended trip through the US and several South American countries over 5 months. Can we receive the measles vaccine?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,"In South Carolina is it mandatory for kids to be vaccinated to go to school?
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
76,"Does a patient have immunity if the first and second doses of HVP were given 3 years apart and no third dose was received.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"My baby got penta3 vaccine in 2 months 15 days do we get side effects with this
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,"How can I book an appointment to get my vaccinations?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,"How many days before my little one's first birthday can she get the MMR vaccine and still have it considered apart of the standard vaccination schedule? We want to get it early (due to a trip) but do not want to repeat the 12-month shot.
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,"My daughter had her first set of gr. 6 vaccines last week. She spent the next day achy and vomiting. Is this a normal reaction?
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"Does Prevnar protect against the same strains as Pnemo 23?
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,"what dates will 2019 flu shots be available in Keremeos
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"Are there mobile clinics that we can hire to come to our place of business to provide MMR shots, given the Measles outbreak in Vancouver? Doesn't have to be free, we're willing to pay.
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,"Is it safe to get a shringrix shot if you have been diagnosed with ocular herpes? Recent outbreak has just cleared up. I am a 75 year old senior. Could Shringrix trigger occular herpes outbreak?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,"Hi I was just wanting to know when BC started doing hep B shots? I am asking because I am 31 now and traveling to Thailand and need to get that shot. I attended public school.
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"I have had a severe case of red eyes, soreness and weeping eyes since receiving the flu shot. One internet site indicates that red eyes are a reaction to the flu shot?????.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,"I had Hepatitis B vaccine injection in South Korea (June&August,2018). So I was wondering where can I get my third injection in Vancouver. I don't have neither PR Card/citizenship.
",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,"are my measles vaccines up to date?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,"Where and how can I get a booster for the Tetanus, Diphtheria vaccine? It has been 10 years since my last booster.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Where can I get the shingles vaccines in BC? How much do they cost?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,"I was immunized about 10 years ago for pneumonia by Richmond Public Health. When should I be re-vaccinated?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"Hi We have recently moved to Canada from India on a work permit and I have two kids, 7 months and 3.8 years old. I wish to check how we can babie's vaccination done, has one due
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"where I can get HPV vaccine in Nanaimo? what should I need to prepare ?
",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,"My daughter (6 years old) had the first dose of Ambirix (hepatitis A and B combined) 14 months ago. As it is 14 months past her first dose of Ambirix, local pharmacy decided to let her restart a 3-dose course with Twinrix again. Is this necessary? What should we do?
",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"I was born in 1962 and was never vaccinated. At twelve my doctor gave me a Tetanus Shot because of a bad cut. Do I need to be vaccinated for everything? I had the Measles at eight.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,"What to do if the second booster of Hepatitis a booster is missed for a child?
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Can my child get vaccine when having vomiting Illness (for 4 €˜month vaccines)
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"I took chickenpox two days ago. I know I won't be able to do a TB skin test until 4 weeks later. I've had a BCG vaccine before. Can I do a blood work for TB next week?
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
99,"My daughter had HPV vaccine last October 2017, the next day she had rashes on one side of her waist. It looks like a shingle, now comes and goes, itchy and pain .
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"visiting a 4 week old baby who has not been vaccinated yet. should adults get vaccinated before visiting?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"Is the current influenza vaccine available now at the Elkford Medical Clinic ? If not, when is it scheduled for this clinic ?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"A recent study showed men with 5+ partners who perform unprotected oral sex have a higher risk of HPV-induced oral cancers. I am 38, male, sexually active, I never have used protection when giving oral sex. Can I get the HPV vaccine?
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"Is typhoid necessary for cayo coco? Been there before did not have
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
104,"Travelling to Asia and require vaccination. Where can I go to get vaccinated for free?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,"Why is Fluzone vaccine not free to seniors & others at risk, similar to the regular vaccine being available at no cost for seniors & other specific categories? We take care of grandchildren, volunteer, are caregivers, some are still working. Why must we pay for extra protection against flu?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"Both the Travel Clinic (Vancouver) and a local pharmacy told me Fluzone will not be available *at all* in BC this year as Ontario had bought it all. The answers here say it will be available in November. If so, I will wait. Which is accurate? Thank you by the way. This is a very helpful site.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"Does MC protect viral or bacterial meningitis.
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"Hi I live in Victoria and it is only October 23, and the flu shots have already run out. It appears it will be at least 3 more weeks for more. Where you guys not prepared forthis
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"unimmunized children in contact with 4 month old immunized infant is it safe
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"Which vaccines for kids €˜shed' the virus for a week after the shot?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,"Waiting for the Fluzone High dose, only one pharmacy carrying it in December 2019. Is there a real danger to having a regular free flu shot now plus the high dose in December?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"What happens when we refuse to vaccinate our children? 
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"I am 25 yrs old. My doctor advised me to get Rubella Vaccine before I plan to get pregnant. Where can I go to get Rubella Vaccine for free of cost in Surrey BC.
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,"I was given a tetanus shot on Tuesday, the nurse didnot hit my muscle but up closer to my shoulder/rotator cuff. It is swollen and I have since developed a lump on my collar bone
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,"Are there two types of pneumonia vaccines? Is the free vaccine given to those who meet the high risk criteria the same as those that do not meet & is at a cost of $100.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"Does this clinic do TB skin tests? The Westshore health clinic in Victoria BC?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,"Why is it such a hassle this year to get a shot? Makes no sense for people to be phoning all over town to make an appointment. Promote getting vaccinated then make everyone jump around in Salmon Arm.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"My daughter never got her grade 9 shots where can we get them done now
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,"I am an International student and this is my first year in Canada. Do I need to book time for the Influenza vaccination? How to do it?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"If my child is one of the 0.4 to 1.8 reports per 1,000,000 doses of vaccine distributed in Canada who get anaphylaxis, how do I explain to his mother it was worth it?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,"I got bitten hard(open wound) by a squirrel in Central Park, Burnaby,while feeding it.It was no agressive, it just mixed up a nut and my finger. Do I need rabies or tetanus vaccine? What could be the price? Not a canadian, a vistor, worring about a high cost
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"i was late on getting my sons 12 month shots he got them at 15 months. he is now 18 months and i was wondering if he can get his shots now or do we have to wait a couple months
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"who is writing this information? Im writing an essay and need to credit an author.
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"My son attended Grade 5 and 6 in Kamloops. This is about the time he should have received a second MMR shot. Is there a record? 
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,"I have 2 daughters,one got the Meningococcal vaccine recently at school,the other is 20 years and not in school.I live in the Okanagan, should I be getting the vaccine for her too?
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"Do you need both parents consent to give a vaccine to a 9yr old and 3yr old child? Can one parent vaccinate the children if they know the other parent does not consent to it?
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"How do I request an immunization record from Richmond BC? I do not currently live in BC currently.
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"i recently got a TDaP booster and Tb skin test at the same time. Will the vaccines affect the results for the skin test?
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,"How do I locate immunization records from comox valley? The numbers provided for health units are all in lower mainland.
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
